GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-test,com.tonux.unitTestExample.calculator,Calculator,0,27,0,0,0,7,0,7,0,7
calculator-test,com.tonux.unitTestExample.calculator,Main,10,0,0,0,4,0,2,0,2,0
